inds	Country	Region	Locality	Land_use
274_CmrZ2_dana_ca_pl3_D6	Cameroun	Extreme-Nord	Mayo-Dana	Champ agricole
275_CmrZ2_dana_sn_pl3_E6	Cameroun	Extreme-Nord	Mayo-Dana	Savane Naturelle
276_CmrZ2_dana_sn_pl3_F6	Cameroun	Extreme-Nord	Mayo-Dana	Savane Naturelle
277_CmrZ2_dana_sn_pl3_G6	Cameroun	Extreme-Nord	Mayo-Dana	Savane Naturelle
278_CmrZ2_dana_sn_pl3_H6	Cameroun	Extreme-Nord	Mayo-Dana	Savane Naturelle
279_CmrZ2_dana_sn_pl3_A7	Cameroun	Extreme-Nord	Mayo-Dana	Savane Naturelle
280_CmrZ2_dana_sn_pl3_B7	Cameroun	Extreme-Nord	Mayo-Dana	Savane Naturelle
282_CmrZ2_dana_sn_pl3_C7	Cameroun	Extreme-Nord	Mayo-Dana	Savane Naturelle
283_CmrZ2_dana_sn_pl3_D7	Cameroun	Extreme-Nord	Mayo-Dana	Savane Naturelle
284_CmrZ2_dana_sn_pl3_E7	Cameroun	Extreme-Nord	Mayo-Dana	Savane Naturelle
285_CmrZ2_dana_sn_pl3_F7	Cameroun	Extreme-Nord	Mayo-Dana	Savane Naturelle
286_CmrZ2_dana_sn_pl3_G7	Cameroun	Extreme-Nord	Mayo-Dana	Savane Naturelle
287_CmrZ2_dana_sn_pl3_H7	Cameroun	Extreme-Nord	Mayo-Dana	Savane Naturelle
288_CmrZ2_dana_sn_pl3_A8	Cameroun	Extreme-Nord	Mayo-Dana	Savane Naturelle
289_CmrZ2_dana_sn_pl3_B8	Cameroun	Extreme-Nord	Mayo-Dana	Savane Naturelle
290_CmrZ2_dana_sn_pl3_C8	Cameroun	Extreme-Nord	Mayo-Dana	Savane Naturelle
291_CmrZ2_dana_sn_pl3_D8	Cameroun	Extreme-Nord	Mayo-Dana	Savane Naturelle
292_CmrZ2_dana_sn_pl3_E8	Cameroun	Extreme-Nord	Mayo-Dana	Savane Naturelle
293_CmrZ2_dana_sn_pl3_F8	Cameroun	Extreme-Nord	Mayo-Dana	Savane Naturelle
294_CmrZ2_dana_sn_pl3_G8	Cameroun	Extreme-Nord	Mayo-Dana	Savane Naturelle
